idx,title,year,poster,status,tmdb_id
78,Mousehunt,1997,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0119715.jpg,downloaded,6283
79,Kuch Kuch Hota Hai,1998,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0172684.jpg,downloaded,11854
80,Life,1999,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0123964.jpg,downloaded,294148
81,The First Wives Club,1996,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0116313.jpg,downloaded,2925
82,"Black Cat, White Cat",1998,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0118843.jpg,downloaded,1075
83,Show Me Love,1998,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0150662.jpg,downloaded,11634
84,Romy and Michele's High School Reunion,1997,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0120032.jpg,downloaded,9611
85,Amélie,2001,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0211915.jpg,downloaded,194
86,Shaun of the Dead,2004,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0365748.jpg,downloaded,747
87,Love Actually,2003,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0314331.jpg,downloaded,508
88,The Terminal,2004,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0362227.jpg,downloaded,594
89,Lost in Translation,2003,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0335266.jpg,downloaded,153
90,The 40-Year-Old Virgin,2005,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0405422.jpg,downloaded,6957
91,Mean Girls,2004,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0377092.jpg,downloaded,10625
92,Bruce Almighty,2003,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0315327.jpg,downloaded,310
93,50 First Dates,2004,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0343660.jpg,downloaded,1824
94,Anchorman: The Legend of Ron Burgundy,2004,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0357413.jpg,downloaded,8699
95,Wedding Crashers,2005,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0396269.jpg,downloaded,9522
96,School of Rock,2003,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0332379.jpg,downloaded,1584
97,Hitch,2005,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0386588.jpg,downloaded,8488
98,The Royal Tenenbaums,2001,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0265666.jpg,downloaded,9428
99,Zoolander,2001,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0196229.jpg,downloaded,9398
100,How to Lose a Guy in 10 Days,2003,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0251127.jpg,downloaded,9919
101,Meet the Fockers,2004,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0290002.jpg,downloaded,693
102,American Pie 2,2001,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0252866.jpg,downloaded,2770
103,Bridget Jones's Diary,2001,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0243155.jpg,downloaded,634
104,Dodgeball: A True Underdog Story,2004,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0364725.jpg,downloaded,9472
105,Legally Blonde,2001,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0250494.jpg,downloaded,8835
106,The Girl Next Door,2004,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0265208.jpg,downloaded,10591
107,Old School,2003,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0302886.jpg,downloaded,11635
108,Chicago,2002,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0299658.jpg,downloaded,1574
109,Napoleon Dynamite,2004,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0374900.jpg,downloaded,8193
110,Kiss Kiss Bang Bang,2005,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0373469.jpg,downloaded,5236
111,13 Going on 30,2004,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0337563.jpg,downloaded,10096
112,EuroTrip,2004,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0356150.jpg,downloaded,9352
113,Anger Management,2003,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0305224.jpg,downloaded,9506
114,Thank You for Smoking,2005,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0427944.jpg,downloaded,9388
115,Garden State,2004,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0333766.jpg,downloaded,401
116,American Wedding,2003,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0328828.jpg,downloaded,8273
117,Sideways,2004,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0375063.jpg,downloaded,9675
118,Adaptation.,2002,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0268126.jpg,downloaded,2757
119,The Longest Yard,2005,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0398165.jpg,downloaded,9291
120,About a Boy,2002,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0276751.jpg,downloaded,245
121,Punch-Drunk Love,2002,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0272338.jpg,downloaded,8051
122,Scary Movie 2,2001,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0257106.jpg,downloaded,4248
123,White Chicks,2004,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0381707.jpg,downloaded,12153
124,The Princess Diaries,2001,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0247638.jpg,downloaded,9880
125,Freaky Friday,2003,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0322330.jpg,downloaded,10330
126,Scary Movie 3,2003,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0306047.jpg,downloaded,4256
127,Jay and Silent Bob Strike Back,2001,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0261392.jpg,downloaded,2294
128,Bad Santa,2003,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0307987.jpg,downloaded,10147
129,Mr. Deeds,2002,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0280590.jpg,downloaded,2022
130,Fun with Dick and Jane,2005,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0369441.jpg,downloaded,7552
131,Starsky & Hutch,2004,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0335438.jpg,downloaded,9384
132,Good Bye Lenin!,2003,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0301357.jpg,downloaded,338
133,Shallow Hal,2001,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0256380.jpg,downloaded,9889
134,My Big Fat Greek Wedding,2002,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0259446.jpg,downloaded,8346
135,Along Came Polly,2004,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0343135.jpg,downloaded,5966
136,Matchstick Men,2003,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0325805.jpg,downloaded,7270
137,Evolution,2001,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0251075.jpg,downloaded,9871
138,Something's Gotta Give,2003,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0337741.jpg,downloaded,6964
139,Just Friends,2005,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0433400.jpg,downloaded,10033
140,Two Weeks Notice,2002,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0313737.jpg,downloaded,2642
141,Bridget Jones: The Edge of Reason,2004,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0317198.jpg,downloaded,9801
142,Ghost World,2001,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0162346.jpg,downloaded,1548
143,Sweet Home Alabama,2002,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0256415.jpg,downloaded,11529
144,Serendipity,2001,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0240890.jpg,downloaded,9778
145,Just Like Heaven,2005,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0425123.jpg,downloaded,9007
146,Not Another Teen Movie,2001,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0277371.jpg,downloaded,11397
147,Bend It Like Beckham,2002,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0286499.jpg,downloaded,455
148,Van Wilder,2002,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0283111.jpg,downloaded,11452
149,Super Troopers,2001,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0247745.jpg,downloaded,39939
150,Cheaper by the Dozen,2003,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0349205.jpg,downloaded,11007
151,The Ladykillers,2004,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0335245.jpg,downloaded,5516
152,Waiting...,2005,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0348333.jpg,downloaded,7553
153,Broken Flowers,2005,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0412019.jpg,downloaded,308
154,The Hot Chick,2002,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0302640.jpg,downloaded,11852
155,Secretary,2002,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0274812.jpg,downloaded,1073782
156,Intolerable Cruelty,2003,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0138524.jpg,downloaded,11775
157,Maid in Manhattan,2002,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0252076.jpg,downloaded,7303
158,Gosford Park,2001,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0280707.jpg,downloaded,5279
159,A Cinderella Story,2004,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0356470.jpg,downloaded,11247
160,Ali G Indahouse,2002,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0284837.jpg,downloaded,9298
161,The Princess Diaries 2: Royal Engagement,2004,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0368933.jpg,downloaded,11130
162,Munna Bhai M.B.B.S.,2003,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0374887.jpg,downloaded,19625
163,The Squid and the Whale,2005,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0367089.jpg,downloaded,10707
164,Kate & Leopold,2001,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0035423.jpg,downloaded,11232
165,Analyze That,2002,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0289848.jpg,downloaded,9932
166,Spanglish,2004,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0371246.jpg,downloaded,2539
167,The Wedding Planner,2001,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0209475.jpg,downloaded,2018
168,The Hangover,2009,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1119646.jpg,downloaded,18785
169,Superbad,2007,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0829482.jpg,downloaded,8363
170,500 Days of Summer,2009,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1022603.jpg,downloaded,19913
171,Juno,2007,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0467406.jpg,downloaded,7326
172,Little Miss Sunshine,2006,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0449059.jpg,downloaded,773
173,The Devil Wears Prada,2006,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0458352.jpg,downloaded,350
174,In Bruges,2008,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0780536.jpg,downloaded,8321
175,3 Idiots,2009,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1187043.jpg,downloaded,20453
176,Borat,2006,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0443453.jpg,downloaded,496
